"Datum","Standort","Parameter","Intervall","Einheit","Wert","Status"
"2024-01-07T00:00+0100","Zch_Rosengartenstrasse","NOx","d1","ppb",20.87,"bereinigt"
"2024-01-07T00:00+0100","Zch_Rosengartenstrasse","NO","d1","µg/m3",12.67,"bereinigt"
"2024-01-07T00:00+0100","Zch_Rosengartenstrasse","NO2","d1","µg/m3",20.5,"bereinigt"
"2024-01-07T00:00+0100","Zch_Rosengartenstrasse","O3","d1","µg/m3",27,"bereinigt"
"2024-01-07T00:00+0100","Zch_Rosengartenstrasse","PM10","d1","µg/m3",6.71,"bereinigt"
"2024-01-07T00:00+0100","Zch_Rosengartenstrasse","PM2.5","d1","µg/m3",5.96,"bereinigt"
"2024-01-07T00:00+0100","Zch_Rosengartenstrasse","O3_max_h1","d1","µg/m3",40.42,"bereinigt"
"2024-01-07T00:00+0100","Zch_Rosengartenstrasse","O3_nb_h1>120","d1","1",0,"bereinigt"
"2024-01-07T00:00+0100","Zch_Heubeeribüel","NOx","d1","ppb",4.62,"bereinigt"
"2024-01-07T00:00+0100","Zch_Heubeeribüel","NO","d1","µg/m3",0.93,"bereinigt"
"2024-01-07T00:00+0100","Zch_Heubeeribüel","NO2","d1","µg/m3",7.42,"bereinigt"
"2024-01-07T00:00+0100","Zch_Heubeeribüel","O3","d1","µg/m3",39.19,"bereinigt"
"2024-01-07T00:00+0100","Zch_Heubeeribüel","PM10","d1","µg/m3",5.1,"bereinigt"
"2024-01-07T00:00+0100","Zch_Heubeeribüel","PM2.5","d1","µg/m3",4.63,"bereinigt"
